primaryPur,percentRoutes,meanRank,count
Sport Fishing,0.503267973856209,1.60519480519481,385
Other,0.202614379084967,2.64516129032258,155
Cabin,0.0888888888888889,1.45588235294118,68
Hunting,0.065359477124183,2.06,50
Subsistence Fishing,0.0588235294117647,1.86666666666667,45
Camping,0.0326797385620915,1.88,25
Wildlife watching,0.0326797385620915,1.76,25
Hiking,0.0065359477124183,4.2,5
Bird watching,0.00522875816993464,1,4
Lodge,0.00261437908496732,1.5,2
Mining,0.00130718954248366,2,1
