Coding,Lower,Upper
Up to 4,1,4
5 to 10,5,10
11 to 20,11,20
21 to 30,21,30
31 to 40,31,40
41 to 50,41,50
51 to 75,51,75
75 to 100,76,100
101 to 200,101,200
More than 200,200,300
